_id,OBJECTID,OID,Address,City,County,Zip,Year,Recipient,Approved Loan Amount,Recipient Type,Project Type,Project Status,Estimated Savings ($/yr),Annual Electric Savings (kWh),Lighting,HVAC,Solar,Battery Storage,EV Infrastructure,Other,Project Summary,Utility,Type of Utility,DAC,DDLat,DDLon,DDLat_D,DDLon_D,GlobalID,CreationDate,Creator,EditDate,Editor,x,y,x2,y2
240,243,250,"1600 9th St # 100, Sacramento, CA 95814",Sacramento,Sacramento,95814,2003,California Department of Mental Health,1704391,State,ECAA-Reg,Completed,210000,1127386,Yes,Yes,No,No,No,Yes,"install premimum efficiency motors, energy efficient lights, VFDs on motors, boiler improvemtnts, boiler blow-down heat recover and EMS upgrades",Southern California Edison,IOU,No,38.57390600N,121.49901700W,38.573906,-121.499017,a3ccceee-a43c-47f2-9f04-0c05c7eeccb0,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:10:00 PM,SLocwood_CAEnergy,-121.499017,38.573906,-13525208.7043,4660819.7493
241,244,251,"1600 9th St # 100, Sacramento, CA 95814",Sacramento,Sacramento,95814,2003,California Department of Mental Health,1800000,State,ECAA-Reg,Completed,180000,1582000,No,No,No,No,No,Yes,"install a premium efficiency motor on a chilled water pump, and an EMS at the Patton State Hospital ",City of Ukiah Electric Utilities Division,POU,No,38.57390600N,121.49901700W,38.573906,-121.499017,ec7245ef-f985-4e5d-9526-17ee07190b31,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:10:00 PM,SLocwood_CAEnergy,-121.499017,38.573906,-13525208.7043,4660819.7493
242,245,252,"5500 Irvine Center Dr, Irvine, CA 92618",Irvine,Orange,92618,2003,Irvine Valley College,2000000,College,ECAA-Reg,Completed,200717,1804690,Yes,Yes,Yes,No,No,No,"install energy efficient lights, HVAC systems, controls and photo voltaic panels",Los Angeles Department of Water & Power,POU,No,33.67607300N,117.77497000W,33.676073,-117.77497,78bb22f2-39ae-4cf7-94e6-82ea603d30ec,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:10:00 PM,SLocwood_CAEnergy,-117.77497,33.676073,-13110649.6886,3985389.0362
243,246,253,"25 County Center Dr #200, Oroville, CA 95965",Oroville,Butte,95965,2003,County of Butte,2777000,Local Government,ECAA-Reg,Completed,277700,1481083,No,No,Yes,No,No,No,install 2 PV solar systems ,Sacramento Municipal Utility District,POU,Yes,39.52782830N,121.57262500W,39.5278283,-121.572625,c469b4d0-d73a-40ca-921b-1e3be172d0ab,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:11:00 PM,SLocwood_CAEnergy,-121.572625,39.5278283,-13533402.7094,4797562.9515
244,247,254,"1 E Main St, Ione, CA 95640",Ione,Amador,95640,2002,City of Ione,6000,Local Government,ECAA-Reg,Completed,1255,9400,Yes,No,No,No,No,No,installation of energy efficient lighting in city hall ,Pacific Gas & Electric Company,IOU,No,38.35297300N,120.93319700W,38.352973,-120.933197,7269177f-d5a9-42b8-9fcf-e45d098ac05c,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:11:00 PM,SLocwood_CAEnergy,-120.933197,38.352973,-13462221.91,4629409.7628
245,248,255,"2230 Arden Way, Sacramento, CA 95825",Sacramento,Sacramento,95825,2002,"United Cerebral Palsy Association, Inc.",40000,Hospital/Public Care,ECAA-Reg,Completed,4800,25500,No,Yes,No,No,No,No,install 23 energy efficient heating and air conditioning units,Pacific Gas & Electric Company,IOU,No,38.59497700N,121.41336500W,38.594977,-121.413365,cfef1d83-312d-4de7-bac9-667bd4d9d725,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:11:00 PM,SLocwood_CAEnergy,-121.413365,38.594977,-13515673.9673,4663820.4445
246,249,256,"4182 Walnut Dr, Eureka, CA 95503",Eureka,Humboldt,95503,2002,Cutten Elementary School District,48517,School,ECAA-Ed,Completed,7199,43788,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,40.76613500N,124.14383800W,40.766135,-124.143838,3b123e93-b505-436a-889f-0a8371ad9cd3,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:11:00 PM,SLocwood_CAEnergy,-124.143838,40.766135,-13819628.8313,4977907.5873
247,250,257,"1277 Blosser Ln, Willits, CA 95490",Willits,Mendocino,95490,2002,Willits Unified School District,106777,School,ECAA-Ed,Completed,14631,98711,Yes,No,No,No,No,No,installation of energy efficient lighting and controls ,Pacific Gas & Electric Company,IOU,No,39.39952000N,123.35922970W,39.39952,-123.3592297,eb875aec-38b1-439b-9aa2-0d44304177c7,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:11:00 PM,SLocwood_CAEnergy,-123.3592297,39.39952,-13732286.6349,4779062.033
248,251,258,"2755 McKinleyville Ave, McKinleyville, CA 95519",McKinleyville,Humboldt,95519,2002,Northern Humboldt Unified High School District,150000,School,ECAA-Ed,Completed,19759,114592,Yes,Yes,No,No,No,No,"install energy efficient lighting and vending misers, and for the replacement of an inefficient boiler ",Modesto Irrigation District,POU,Yes,40.95517330N,124.11010500W,40.9551733,-124.110105,fe3ddbf7-e015-42df-aab3-e44cb9deaa61,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:11:00 PM,SLocwood_CAEnergy,-124.110105,40.9551733,-13815873.6909,5005731.9825
249,252,259,"22675 8th St E, Sonoma, CA 95476",Sonoma,Sonoma,95476,2002,County of Sonoma,227154,Local Government,ECAA-Reg,Completed,25329,141058,No,No,Yes,No,No,No,install a 95 kW PV system ,City of Riverside,POU,Yes,38.25230650N,122.44121940W,38.2523065,-122.4412194,8efc58c6-6a44-4540-bb39-2f6ef290aa58,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:12:00 PM,SLocwood_CAEnergy,-122.4412194,38.2523065,-13630094.1957,4615129.8291
250,253,260,"1905 7th St, Sanger, CA 93657",Sanger,Fresno,93657,2002,Sanger Unified School District,232400,School,ECAA-Ed,Completed,136880,5760000,No,No,No,No,No,Yes,install two 60 kW natural-gas fired cogeneration systems,Pacific Gas & Electric Company,IOU,No,36.70528520N,119.56348280W,36.7052852,-119.5634828,8fdd727c-3acd-4f49-8c29-b15244e04d8c,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:12:00 PM,SLocwood_CAEnergy,-119.5634828,36.7052852,-13309746.0228,4398106.5732
251,254,261,"1 Frank H. Ogawa Plaza, Oakland, CA 94612",Oakland,Alameda,94612,2002,City of Oakland,270968,Local Government,ECAA-Reg,Completed,55820,205000,Yes,No,No,No,No,No,install energy efficient lighting in City buildings comprising approximately 2.7 million square feet,Pacific Gas & Electric Company,IOU,No,37.80531500N,122.27254600W,37.805315,-122.272546,b5af14b8-98ae-4979-a751-d6be71021a05,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:12:00 PM,SLocwood_CAEnergy,-122.272546,37.805315,-13611317.5587,4551959.7403
252,255,262,"11222 Acacia Pkwy, Garden Grove, CA 92840",Garden Grove,Orange,92840,2002,City of Garden Grove,300000,Local Government,ECAA-Reg,Completed,35294,252100,Yes,No,No,No,No,No,installation of energy efficient lighting ,Los Angeles Department of Water & Power,POU,No,33.77580200N,117.93694000W,33.775802,-117.93694,ca2d3dbe-0129-43ff-8ab6-c37bd709fe5b,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:12:00 PM,SLocwood_CAEnergy,-117.93694,33.775802,-13128680.1065,3998737.2939
253,256,263,"2000 Mowry Ave, Fremont, CA 94538",Fremont,Alameda,94538,2002,Washington Township Hospital,300000,Hospital/Public Care,ECAA-Reg,Completed,88512,945774,No,No,No,No,No,Yes,install two 60 kW natural-gas fired cogeneration systems,PacifiCorp,IOU,No,37.55725000N,121.97975500W,37.55725,-121.979755,0c2a65cc-1694-4a74-aaf3-15290e11ccf6,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:12:00 PM,SLocwood_CAEnergy,-121.979755,37.55725,-13578724.2137,4517067.5177
254,257,264,"7600 Dublin Blvd, Dublin, CA 94568",Dublin,Alameda,94568,2002,Chabot Las Positas Community College District,486500,College,ECAA-Reg,Completed,122175,2240000,No,No,No,No,No,Yes,install a 280 kW natural gas fired cogeneration system ,Pacific Gas & Electric Company,IOU,No,37.70354400N,121.92982500W,37.703544,-121.929825,d28caad7-0129-4e97-81c2-1a5379ba8fa3,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:13:00 PM,SLocwood_CAEnergy,-121.929825,37.703544,-13573166.0315,4537630.7574
255,258,265,"1 Loyola Marymount University Dr, Los Angeles, CA 90045",Los Angeles,Los Angeles,90045,2002,Loyola Marymount University,650000,College,ECAA-Reg,Completed,96120,1040900,No,No,Yes,No,No,No,installation of a 700 kW roof top PV system,Pacific Gas & Electric Company,IOU,No,33.97076000N,118.41923000W,33.97076,-118.41923,7fc53452-8eb1-4a17-aafd-67fae3d2b11a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:13:00 PM,SLocwood_CAEnergy,-118.41923,33.97076,-13182368.3837,4024876.484
256,259,266,"330 Fair Ln, Placerville, CA 95667",Placerville,El Dorado,95667,2002,County of El Dorado,800000,Local Government,ECAA-Reg,Completed,176000,1431621,No,Yes,No,No,No,No,"installation of energy efficient improvements to heating, ventilation and air conditioning systems",Pacific Gas & Electric Company,IOU,No,38.72749220N,120.82656530W,38.7274922,-120.8265653,f0e4dbf3-1133-4efb-af21-33534325408d,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:13:00 PM,SLocwood_CAEnergy,-120.8265653,38.7274922,-13450351.7235,4682711.9993
257,260,267,"1700 W 162nd St, Gardena, CA 90247",Gardena,Los Angeles,90247,2002,City of Gardena,926229,Local Government,ECAA-Reg,Completed,141115,1076104,Yes,No,No,No,No,No,comprehensive city-wise traffic and pedestrian signal retrofit ,Pacific Gas & Electric Company,IOU,Yes,33.88264630N,118.30707050W,33.8826463,-118.3070705,c1905573-cec5-4c00-8123-1443bff85d50,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/25/2023 11:13:00 PM,SLocwood_CAEnergy,-118.3070705,33.8826463,-13169882.8453,4013055.1553
258,261,268,"701 E Carson St, Carson, CA 90745",Carson,Los Angeles,90745,2002,City of Carson,1000000,Local Government,ECAA-Reg,Completed,240234,1965550.909,Yes,No,No,No,No,No,installation of energy efficient lighting in their buildings and conversion of existing incandescent traffic signals to those using LEDs,Pacific Gas & Electric Company,IOU,No,33.83207800N,118.26317100W,33.832078,-118.263171,b04eafc1-083a-4cbe-af33-61a09a495728,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/1/2023 10:05:00 PM,SLocwood_CAEnergy,-118.263171,33.832078,-13164995.9753,4006276.4295
259,262,269,"1 Loyola Marymount University Dr, Los Angeles, CA 90045",Los Angeles,Los Angeles,90045,2002,Loyola Marymount University,1125000,College,ECAA-Reg,Completed,137088,1142400,Yes,No,No,No,No,No,installation of energy efficient lighting ,Pacific Gas & Electric Company,IOU,No,33.97076000N,118.41923000W,33.97076,-118.41923,d9bf1496-df94-4629-85bb-86a39716bc38,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/1/2023 10:05:00 PM,SLocwood_CAEnergy,-118.41923,33.97076,-13182368.3837,4024876.484
260,263,270,"6201 Winnetka Ave, Woodland Hills, CA 91371",Woodland Hills,Los Angeles,91371,2002,Los Angeles Pierce College,1208375,College,ECAA-Reg,Completed,142162,2262207,No,No,Yes,No,No,Yes,install six 60 kW natural gas fired microturbine co-generation systems and a 159 kW solar project,Pacific Gas & Electric Company,IOU,No,34.18595000N,118.57778200W,34.18595,-118.577782,3b6393e8-fc20-471e-a06c-b665cc887be8,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.577782,34.18595,-13200018.3116,4053797.9809
261,264,271,"26455 Rockwell Canyon Rd, Santa Clarita, CA 91355",Santa Clarita,Los Angeles,91355,2002,College of The Canyons,1317000,College,ECAA-Reg,Completed,157613,1359272,Yes,Yes,No,No,No,No,"install a 100 kW microturbine cogeneration system and upgrade the lighting, central chillers, and thermal storage system",Pacific Gas & Electric Company,IOU,No,34.40500900N,118.56984200W,34.405009,-118.569842,3948707c-0bcc-4373-8579-439a2eebec19,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.569842,34.405009,-13199134.4349,4083315.3554
262,265,272,"41870 Mcalby Ct, Murrieta, CA 92562",Murrieta,Riverside,92562,2002,Murrieta Valley Unified School District,1935300,School,ECAA-Ed,Completed,422132,3145281,Yes,Yes,No,No,No,No,"install a 60kW microturbine cogenergation system, new lights and lighting controls, new heat pumps, and a central energy management system control ",Southern California Edison,IOU,No,33.52991000N,117.18548000W,33.52991,-117.18548,64434636-3ef0-4209-bec3-49acce680a1a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.18548,33.52991,-13045027.962,3965853.7396
263,266,273,"700 Pacific St, Monterey, CA 93940",Monterey,Monterey,93940,2002,Monterey Peninsula Unified School District,1946466,School,ECAA-Ed,Completed,227961,1519737,Yes,No,No,No,No,No,finance lighting efficiency improvements ,Pacific Gas & Electric Company,IOU,No,36.59493330N,121.89867500W,36.5949333,-121.898675,0e1b2a94-60d8-457a-b5d9-809b41da05a5,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.898675,36.5949333,-13569698.4294,4382795.1102
264,267,274,"1600 Pacific Hwy, San Diego, CA 92101",San Diego,San Diego,92101,2002,County of San Diego,2000000,Local Government,ECAA-Reg,Completed,240000,1741448,Yes,No,Yes,No,No,Yes,"install 110 kW PV panels, energy efficient lights, VFDs on motors, sky lights and energy conservation controls",Pacific Gas & Electric Company,IOU,No,32.72196600N,117.17213100W,32.721966,-117.172131,01c2defd-c39d-472c-b420-f9dc75ad72e5,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.172131,32.721966,-13043541.9581,3858457.4827
265,268,275,"44811 Sierra Hwy, Lancaster, CA 93534",Lancaster,Los Angeles,93534,2002,Antelope Valley Union High School District,2000000,School,ECAA-Ed,Completed,303045,5704552,Yes,Yes,No,No,No,No,installation of energy efficient lighting and controls and the replacement of old heat pumps,Southern California Edison,IOU,No,34.69741239N,118.13684100W,34.69741239,-118.136841,f7846f34-079d-4572-8bbf-e186bec77a17,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.136841,34.69741239,-13150932.984,4122836.349
266,269,276,"7120 Bodega Ave, Sebastopol, CA 95472",Sebastopol,Sonoma,95472,2001,City of Sebastopol,13637,Local Government,ECAA-Reg,Completed,4296,35149.09091,Yes,No,No,No,No,No,"converting its red, green, amber and pedestrian traffic signals to those using LEDs",Southern California Edison,IOU,No,38.40216500N,122.82550800W,38.402165,-122.825508,f1373389-af9d-485f-ade7-2b377d727a5a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.825508,38.402165,-13672873.007,4636395.0585
267,270,277,"1 Twin Pines Ln, Belmont, CA 94002",Belmont,San Mateo,94002,2001,City of Belmont,20000,Local Government,ECAA-Reg,Completed,6092,95635,No,No,No,No,No,Yes,,Truckee Donner Public Utilities District,POU,No,37.51807800N,122.27665380W,37.518078,-122.2766538,1e8dcf9a-81d5-41d6-a704-01edb5683b60,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.2766538,37.518078,-13611774.8369,4511568.3175
268,271,278,"7900 S Shingle Rd, Shingle Springs, CA 95682",Shingle Springs,El Dorado,95682,2001,Latrobe School District,22300,School,ECAA-Ed,Completed,24000,24069,No,No,No,No,No,Yes,,Trinity Public Utilities District,POU,No,38.55935500N,120.98238300W,38.559355,-120.982383,d2f1a2b9-cb35-433d-8f86-a90dd793692d,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.982383,38.559355,-13467697.2705,4658748.073
269,272,279,"420 Litho St, Sausalito, CA 94965",Sausalito,Marin,94965,2001,City of Sausalito,31000,Local Government,ECAA-Reg,Completed,3500,38000,No,No,No,No,No,Yes,,Lassen Municipal Utility District,POU,No,37.85964100N,122.48888300W,37.859641,-122.488883,831eea53-dd92-4337-82a0-ff51ecd202ee,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.488883,37.859641,-13635400.0834,4559616.7244
270,273,280,"955 School St, Napa, CA 94559",Napa,Napa,94559,2001,City of Napa,42353,Local Government,ECAA-Reg,Completed,20797,131935,No,No,No,No,No,Yes,,Sacramento Municipal Utility District,POU,No,38.29668460N,122.28948820W,38.2966846,-122.2894882,00aefa85-3d1c-4728-9080-979abac16464,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.2894882,38.2966846,-13613203.5558,4621422.5927
271,274,281,"3041 W Ave K, Lancaster, CA 93536",Lancaster,Los Angeles,93536,2001,Antelope Valley Community College District,62324,College,ECAA-Reg,Completed,11300,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.67800200N,118.18697700W,34.678002,-118.186977,3a77a739-01be-42d3-b6cc-48d0851e9762,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.186977,34.678002,-13156514.098,4120208.5445
272,275,282,"825 5th St #112, Eureka, CA 95501",Eureka,Humboldt,95501,2001,County of Humboldt,62820,Local Government,ECAA-Reg,Completed,14147,83280,Yes,Yes,No,No,No,No,install energy efficient lighting and HVAC retrofit ,Pacific Gas & Electric Company,IOU,No,40.80290400N,124.16227200W,40.802904,-124.162272,66e642da-0e7a-4ea9-a5f5-e29d94cb33a5,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-124.162272,40.802904,-13821680.8948,4983313.372
273,276,283,"825 5th St #112, Eureka, CA 95501",Eureka,Humboldt,95501,2001,County of Humboldt,66990,Local Government,ECAA-Reg,Completed,9475,0,Yes,Yes,No,No,No,No,install energy efficient lighting and HVAC retrofit ,Southern California Edison,IOU,No,40.80290400N,124.16227200W,40.802904,-124.162272,eb4d19fa-7db2-4b45-9e32-20a56ffc0eea,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-124.162272,40.802904,-13821680.8948,4983313.372
274,277,284,"32400 Paseo Adelanto, San Juan Capistrano, CA 92675",San Juan Capistrano,Orange,92675,2001,City of San Juan Capistrano,75693,Local Government,ECAA-Reg,Completed,18291,140701,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,33.49216120N,117.66497180W,33.4921612,-117.6649718,b03c5bba-c755-43c7-a9fe-45ab3ad59ea3,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.6649718,33.4921612,-13098404.745,3960813.8251
275,278,285,"100 Garfield Ave, Pasadena, CA 91101",Pasadena,Los Angeles,91101,2001,City of Pasadena,76024,Local Government,ECAA-Reg,Completed,40911,334726.3636,Yes,No,No,No,No,No,converting its red and green traffic signals to those using LEDs ,Merced Irrigation District,POU,No,34.14736800N,118.14374200W,34.147368,-118.143742,6cd405a9-25d1-4337-9754-5ac95ba55673,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.143742,34.147368,-13151701.1999,4048607.1545
276,279,286,"1275 Main St, El Centro, CA 92243",El Centro,Imperial,92243,2001,City of El Centro,86024,Local Government,ECAA-Reg,Completed,23821,251808,No,No,No,No,No,Yes,,Imperial Irrigation District,POU,Yes,32.79244200N,115.56716700W,32.792442,-115.567167,9e347274-cfde-4a23-826a-846a1dc6a7bc,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-115.567167,32.792442,-12864878.1829,3867786.4054
277,280,287,"4525 Franklin Rd, Yuba City, CA 95993",Yuba City,Sutter,95993,2001,Sutter Extension Water District,96300,Special District,ECAA-Reg,Completed,10700,75600,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,39.12761000N,121.69912900W,39.12761,-121.699129,63fdbedd-2f5b-45e8-8a91-04e041b84473,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.699129,39.12761,-13547485.0703,4739967.1288
278,281,288,"501 Low Gap Rd, Ukiah, CA 95482",Ukiah,Mendocino,95482,2001,County of Mendocino,96884,Local Government,ECAA-Reg,Completed,19933,130620,No,No,No,No,No,Yes,,Pasadena Water & Power,POU,No,39.15871400N,123.21543300W,39.158714,-123.215433,860505e7-2b39-4170-bce0-c0ae68148312,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-123.215433,39.158714,-13716279.2594,4744431.5572
279,282,289,"1000 Sir Francis Drake Blvd Suite 14, San Anselmo, CA 94960",San Anselmo,Marin,94960,2001,Town of San Anselmo,105870,Local Government,ECAA-Reg,Completed,15239,125149,No,No,No,No,No,Yes,,Los Angeles Department of Water & Power,POU,Yes,37.98183700N,122.56757200W,37.981837,-122.567572,3e9657ee-d102-46db-a7a9-b1e18ae5430d,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.567572,37.981837,-13644159.7028,4576860.3078
280,283,290,"551 Avenue H, Barstow, CA 92311",Barstow,San Bernardino,92311,2001,Barstow Unified School District,119832,School,ECAA-Ed,Completed,36900,284008,No,No,No,No,No,Yes,,San Diego Gas & Electric,IOU,No,34.89106237N,117.04750409W,34.89106237,-117.04750409,3a784aaf-6015-4313-8256-233ecdd45dbf,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.0475041,34.89106237,-13029668.555,4149086.7922
281,284,291,"20932 Big Canyon Rd, Middletown, CA 95461",Middletown,Lake,95461,2001,Middletown Unified School District,131559,School,ECAA-Ed,Completed,15034,109739,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.75488500N,122.61423100W,38.754885,-122.614231,b67b278c-57cc-43b2-a24b-54ed0d61c024,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.614231,38.754885,-13649353.7589,4686621.5223
282,285,292,"465 W Putnam Ave, Porterville, CA 93257",Porterville,Tulare,93257,2001,Sierra View District Hospital,140000,Hospital/Public Care,ECAA-Reg,Completed,28000,268600,No,No,No,No,No,Yes,,San Diego Gas & Electric,IOU,No,36.06887900N,119.02760100W,36.068879,-119.027601,3bfc663b-b044-4724-8f84-758ee2cdbbea,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-119.027601,36.068879,-13250091.9337,4310103.1599
283,286,293,"1 Frank H. Ogawa Plaza, Oakland, CA 94612",Oakland,Alameda,94612,2001,City of Oakland,158000,Local Government,ECAA-Reg,Completed,17300,284000,No,Yes,No,No,No,No,installation of energy improvement to the central cooling plant ,Pacific Gas & Electric Company,IOU,No,37.80531500N,122.27254600W,37.805315,-122.272546,12d90952-3af4-45a5-88f3-e64ef25b0806,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.272546,37.805315,-13611317.5587,4551959.7403
284,287,294,"33122 Valle Rd, San Juan Capistrano, CA 92675",San Juan Capistrano,Orange,92675,2001,Capistrano Unified School District,185885,School,ECAA-Ed,Completed,33092,275771,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,33.47984500N,117.67000700W,33.479845,-117.670007,449acff4-2704-4bfc-861b-4979b984dc6d,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.670007,33.479845,-13098965.2609,3959169.9412
285,288,295,"16600 Civic Center Dr, Bellflower, CA 90706",Bellflower,Los Angeles,90706,2001,City of Bellflower,195000,Local Government,ECAA-Reg,Completed,67350,673498,No,No,No,No,No,Yes,,Southern California Edison,IOU,Yes,33.88353420N,118.12205820W,33.8835342,-118.1220582,3e7cdbee-12ab-4a4e-ab10-eeffd03227eb,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.1220582,33.8835342,-13149287.3703,4013174.215
286,289,296,"31200 Oak Crest Dr, Westlake Village, CA 91361",Westlake Village,Los Angeles,91361,2001,City of Westlake Village,221000,Local Government,ECAA-Reg,Completed,34665,292491,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.14455000N,118.79892170W,34.14455,-118.7989217,d86972d8-7887-4b7e-b195-00ee77777af1,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.7989217,34.14455,-13224635.4704,4048228.1135
287,290,297,"100 Civic Center Mall, Indio, CA 92201",Indio,Riverside,92201,2001,City of Indio,224253,Local Government,ECAA-Reg,Completed,37417,393867,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,33.71949650N,116.21871520W,33.7194965,-116.2187152,72eabd07-d53a-47a7-8f57-2465f9c4be56,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-116.2187152,33.7194965,-12937408.1967,3991199.1612
288,291,298,"5100 Sierra College Blvd, Rocklin, CA 95677",Rocklin,Placer,95677,2001,Sierra Joint Community College District,242445,College,ECAA-Reg,Completed,69011,313641,No,No,No,No,No,Yes,,Southern California Edison,IOU,Yes,38.79115400N,121.21081700W,38.791154,-121.210817,4cfd3bdb-8ccf-4103-895d-bd5b409308b8,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.210817,38.791154,-13493126.4271,4691800.1731
289,292,299,"135 N Oakland Ave, Pasadena, CA 91182",Pasadena,Los Angeles,91182,2001,Fuller Theological Seminary,250000,College,ECAA-Reg,Completed,28000,209535,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,Yes,34.14818100N,118.14046300W,34.148181,-118.140463,52ad1ee3-54a4-4944-b365-bb4b97c886ff,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.140463,34.148181,-13151336.1832,4048716.5112
290,293,300,"3450 Coffey Ln, Santa Rosa, CA 95403",Santa Rosa,Sonoma,95403,2001,Piner-Olivet Union School District,261930,School,ECAA-Ed,Completed,29103,182716,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.47361930N,122.74618320W,38.4736193,-122.7461832,55e0840a-78bb-4745-b8c9-d2aea8b911e9,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.7461832,38.4736193,-13664042.6106,4646550.0888
